-,repair_cost-,repair_time-parallel,repair_time-sequential
6548,3023779.165381599,845.0845695424457,2233.424883017445
6549,21600000.0,12500.0,12500.0
6550,992202.5795947992,305.214012035707,699.4387807756558
6551,1812408.2167328575,482.31397494224836,1310.7835973772567
6552,516802.8950631181,161.05037675885436,392.44219146036517
6553,737038.4530338964,211.33752772041004,531.2965942332173
6554,2424606.475803224,685.1733720306853,1755.1815779470567
6555,1888584.8697319513,664.1806543375438,1337.642837014129
6556,2214655.3054736997,617.2544463219648,1574.7856535747676
6557,21600000.0,12500.0,12500.0
6558,21600000.0,12500.0,12500.0
6559,1354182.7416205634,355.0307562598999,931.7972755864877
6560,494449.41910580685,210.04230300517634,381.33103693674786
6561,1544786.7584080673,512.8331694909405,1094.4144663667141
6562,2734012.838287099,674.0370822198656,1990.6172758481787
6563,1796291.2424500338,485.9565110974374,1292.6998536361905
6564,2282795.0894846213,546.0724483262746,1647.922123277468
6565,2534823.2677590684,757.3605408885287,1834.1521704349684
6566,2795064.031528342,829.4811738641088,2038.7823046081182
6567,2214121.429849206,600.5912724519351,1569.1753793274327
6568,2234376.60152973,592.1632755069612,1589.2062170700065
6569,21600000.0,12500.0,12500.0
6570,2092741.0181071032,632.5707449995977,1509.641096832459
6571,1112910.894710636,399.8705901848396,780.4995669012934
6572,2020818.181256475,582.0446027495593,1426.8033740072765
6573,1965098.750195163,585.063193949491,1393.935339513424
6574,21600000.0,12500.0,12500.0
6575,2061776.5352801536,604.4280948797368,1500.5249745933208
6576,1737279.0831814685,466.8670059706643,1208.5715518633144
6577,21600000.0,12500.0,12500.0
6578,538816.7747295741,187.2681803014592,418.17436325566797
6579,169576.72623233098,54.28215488225999,152.52858170117995
6580,3116304.3128196388,908.8254608939989,2308.0215431065844
6581,21600000.0,12500.0,12500.0
6582,1619943.6786809096,471.13454662699473,1142.762716994513
6583,3403377.3633645424,871.1420028776639,2548.9602230434393
6584,2098552.621935539,604.316242549323,1509.7941293964714
6585,2388902.021776323,674.474518920535,1719.2063674580804
6586,1583059.268604048,464.7051412544192,1097.5021294638398
6587,931727.3305534534,336.69451813834195,658.9337482556075
6588,21600000.0,12500.0,12500.0
6589,1290549.5294371806,367.0327126062377,914.312927023806
6590,1643445.1859928956,450.0522933070903,1152.9163035909007
6591,2332662.264263544,705.816881598358,1689.4994560138282
6592,2016091.3314496316,516.6066225539977,1412.5293224901163
6593,886415.4318139546,297.87957211598393,647.3483877973638
6594,1195444.0888338403,354.88058319431514,855.605051650623
6595,2012452.4136824014,482.6960152649514,1453.2285756721649
6596,21600000.0,12500.0,12500.0
6597,21600000.0,12500.0,12500.0
6598,21600000.0,12500.0,12500.0
6599,21600000.0,12500.0,12500.0
6600,21600000.0,12500.0,12500.0
6601,400779.0502348299,164.58948661530994,328.05215358640226
6602,21600000.0,12500.0,12500.0
6603,21600000.0,12500.0,12500.0
6604,1365794.8093577304,390.0942780760516,940.3572537961545
6605,21600000.0,12500.0,12500.0
6606,1638734.9547360926,503.0175161161902,1155.6410854498852
6607,1469057.2366665371,547.9620204144128,1047.0163451078984
6608,2794356.255819156,824.5280546505471,2062.6279234100807
6609,1622804.5094943687,524.490514846485,1156.9169133750302
6610,21600000.0,12500.0,12500.0
6611,2698330.7648584563,710.0252223621058,1959.3903834989103
6612,1138779.2148154168,361.20478986964565,814.5782095844021
6613,1503599.8116921212,530.3706928617645,1094.1750803097218
6614,693624.70810341,271.6764196713824,542.5664337957604
6615,1068790.4800853003,277.7325034895158,738.4504745266039
6616,21600000.0,12500.0,12500.0
6617,21600000.0,12500.0,12500.0
6618,371242.1247672138,130.43710750347174,294.38094620434975
6619,3050716.140030761,931.3877379689485,2265.857044323337
6620,21600000.0,12500.0,12500.0
6621,867057.7673662088,273.6025568460064,649.6790135536046
